N. Tomba,Bibliografia essenziale
313,"Negrioli 1927, pp. 166-168, fig. 9; p. 145; Aurigemma 1960, pp. 87-97, tavv. 101-113; Massei 1978, pp. 19-21, nn. 12-13; Gaucci 2014"
314,Gaucci 2014
315,Pozzi 2011; Uggeri 1978; p. 386; Trevisanello 2024
316,Romagnoli 2015
317,Gaucci 2014
318,Gaucci 2014
319,Gaucci 2014
320,"Gaucci 2014; Serra 2025, p. 235"
321,"Aurigemma 1965, pp. 100-101, tavv. 126-129; Hostetter 2001, p. 120, n. 295; Trevisanello 2024"
322,"Baldoni 1981, pp. 121-122, n. 80; Gaucci 2014"
323,"Mostra 1960, pp. 286-287, nn. 875-887, tav. LXVIII; Aurigemma 1960, pp. 114-116, tavv. 136-137; Parrini 1993a, pp. 279-281; Hostetter 2001, p. 151, n. 375; Gaucci 2014; Bandini in Spina 2023, p. 278"
324,Gaucci 2014
325,"Negrioli 1927, p. 145; Gaucci 2014"
326,Romagnoli 2015
327,Romagnoli 2015
328,Romagnoli 2015
329,"Romagnoli 2015; Serra 2025, p. 235"
330,Romagnoli 2015
331,Romagnoli 2015
332,"Baldoni 1981, p. 94; Romagnoli 2015"
333,Romagnoli 2015
334,Romagnoli 2015
335,Romagnoli 2015
336,Romagnoli 2015
337,Romagnoli 2015
338,"Baldoni 1981, p. 172; Bisi, Camerin 1993, p. 28; Romagnoli 2015; Serra 2025, p. 232"
339,Romagnoli 2015
340,Romagnoli 2015
341,"Baldoni 1981, pp. 76-77; Romagnoli 2015"
342,Romagnoli 2015
343,"Negrioli 1927, p. 145; Romagnoli 2015; Serra 2025, p. 232"
344,"Negrioli 1927, pp. 168-169; Aurigemma 1965, pp. 135-137, tavv. 163-166; Berti 1983, p. 55; Romagnoli 2015"
345,Romagnoli 2015
346,Romagnoli 2015
347,"Romagnoli 2015; Parrini 2021, p. 294"
348,Romagnoli 2015
349,"Negrioli 1927, pp. 169-170; Romagnoli 2015; Serra 2025, p. 235"
350,"Negrioli 1927, pp. 170-171; Pozzi 2011; Trevisanello 2024"
351,Gaucci 2014
352,Gaucci 2014
353,Gaucci 2014
354,Gaucci 2014
355,Gaucci 2014
356,Gaucci 2014
357,Trevisanello 2024
358,Gaucci 2014
359,Trevisanello 2024
360,"Poggio 1974, p. 67, n. 98; Timossi 2019"
361,"Negrioli 1927, p. 145; Romagnoli 2015; Serra 2025, p. 235"
362,Romagnoli 2015
363,Romagnoli 2015
364,"Negrioli 1927, p. 171; Romagnoli 2015"
365,Timossi 2019
366,"Berti 1993, p. 44; Timossi 2019; Serra 2025, p. 235"
367,Trevisanello 2024
368,Romagnoli 2015
369,"Berti 1993, p. 44; Pozzi 2011; Timossi 2019; Trevisanello in Spina 2022, pp. 76-77, 127. "
370,"Timossi 2019; Serra 2025, p. 236"
371,Timossi 2019
372,Timossi 2019
373,Timossi 2019
374,Romagnoli 2015
375,"Negrioli 1927, pp.176-177, p. 196; Aurigemma 1965, pp. 56 -57, tavv. 62-64; Hostetter 2001, p. 104, n. 254; Romagnoli 2015"
376,Romagnoli 2015
377,Romagnoli 2015
378,Trevisanello 2024
379,Trevisanello 2024
380,Trevisanello 2024
381,Romagnoli 2015
382,Romagnoli 2015
383,Timossi 2019
384,Timossi 2019
385,Timossi 2019
386,Romagnoli 2015
387,"Timossi 2019; Serra 2025, p. 236"
388,Timossi 2019
389,Pozzi 2011; Timossi 2019
390,Timossi 2019
391,"Massei 1978, pp. 24-26, n. 16, tav. V,2; Timossi 2019; Serra 2025, p. 236"
392,"Negrioli 1927, pp. 178-179; Aurigemma 1960, pp. 194-197; Berti 1983, p. 78; Berti 1993, pp. 41 - 42; Hostetter 2001, pp. 124-125, n. 310; Timossi 2019"
393,"Timossi 2019; Serra 2025, p. 236"
394,"Negrioli 1927, p. 179; Aurigemma 1965, pp. 60-61; Timossi 2019"
395,Romagnoli 2015
396,Romagnoli 2015
397,Romagnoli 2015
398,Romagnoli 2015
399,Timossi 2019
400,Timossi 2019
401,Romagnoli 2015
402,Romagnoli 2015
403,Romagnoli 2015
404,Romagnoli 2015
405,"Romagnoli 2015; Romagnoli in Spina 2023, p. 420"
406,"Negrioli 1927, pp. 181-182; Bisi, Camerin 1993, p. 28; Berti 1993, p. 44; Timossi 2019; Serra 2025, p. 232"
407,Romagnoli 2015
408,"Negrioli 1927, p. 145; Desantis 1993b, pp. 308, 312-313; Timossi 2019"
409,"Malnati 1993, p. 166; Locatelli 1993, pp. 348-351; Pozzi 2011; Timossi 2019; Gaucci in Rasna 2019, p. 416"
410,Pozzi 2011; Timossi 2019
411,"Timossi 2019; Serra 2025, p. 236"
412,Timossi 2019
413,Timossi 2019
414,Timossi 2019
415,Timossi 2019
416,Timossi 2019
417,Pozzi 2011; Timossi 2019
418,Timossi 2019
419,"Romagnoli 2015; ROmagnoli in Spina 2023, p. 280"
420,Romagnoli 2015
421,Romagnoli 2015
422,"Arias 1960, pp. 304-309, nn. 963-985; Aurigemma 1960, pp. 151-155; Aurigemma, Alfieri 1957, p. 35, tavv. 172-178; Berti 1983, p. 96; Hostetter 1986, p. 102, n. 72; Negrioli 1927, pp. 183-185; Pozzi 2011; Trevisanello in Desantis et alii 2023, pp. 280-283; Trevisanello 2024; Trevisanello in Spina 2023, pp. 280-283"
423,Romagnoli 2015
424,"Negrioli 1927, p. 145; Romagnoli 2015"
425,"Negrioli 1927, pp. 185-186; Romagnoli 2015; Romagnoli in Spina 2023, p. 205; Serra 2025, p. 236"
426,Romagnoli 2015
427,Romagnoli 2015
428,Romagnoli 2015
429,Romagnoli 2015
430.1,"Baldoni 1981, p. 173, n. 145; Romagnoli 2015 "
430.2,"Baldoni 1981, p. 173, n. 145; Romagnoli 2015 "
431,Romagnoli 2015
432,"Negrioli 1927, p. 145; Romagnoli 2015"
433,Romagnoli 2015
434,Romagnoli 2015
435,Romagnoli 2015
